Internal ID,Location,Display Name Code, Number,Available
183320,Cordoba (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300219,3
179199,Monterrey (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300519,13
204127,Monterrey (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300620,2
183320,M�xico (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300219,8
179199,M�xico (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300519,7
204127,M�xico (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300620,90
224122,M�xico (QME),"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300721,50
179199,Tabla Honda,"45-JE132-1A Cable Assembly, IVG, Power/Accessory, 6 pin (J1708)",300519,2
216290,Aguascalientes (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",181220,1
197155,Ciudad Ju�rez (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",261219,1
216290,Guadalajara (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",181220,7
216290,Le�n (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",181220,1
197155,Monterrey (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",261219,26
216290,M�xico (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",181220,18
216296,M�xico (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",231220,50
197155,M�xico (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",261219,2
199381,M�xico (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",300120,24
222852,M�xico (QME),"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",300621,50
216290,Tabla Honda,"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",181220,1
199381,Tabla Honda,"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",300120,4
199381,Tabla_Honda_Tecnico_1,"45-JE135-1A IVG Cable, OBDII Conn, 250KBPS Volvo Mack 2012",300120,1
218811,Cham_Tecnico_4,"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,4
218811,Ciudad Ju�rez (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,1
218616,Ciudad Ju�rez (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",310321,1
218811,Cordoba (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,4
218616,Cordoba (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",310321,2
218811,Guadalajara (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,5
205888,Le�n (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",300720,2
218616,Monterrey (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",310321,13
218811,M�xico (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,54
222853,M�xico (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",300621,100
218616,M�xico (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",310321,20
218616,Orizaba_Tecnico_2,"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",310321,3
218811,Puebla,"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,8
218811,Tabla Honda,"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,1
218811,Veracruz (QME),"45-JE134-1A IVG Cable, Type 1, 9 pin, 250 KPBS PACCAR",270421,1
191719,Ciudad Ju�rez (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",1501019,1
117585,Cordoba (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",250117,1
122522,Cordoba (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",280417,2
223350,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",120721,50
191719,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",1501019,16
123580,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",250517,20
207731,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",250820,75
122522,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",280417,10
204128,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",300620,25
222854,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",300621,50
224123,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",300721,50
190828,M�xico (QME),"45-JE138-1A Cable Assembly, IVG, Power/Accessory, Tele Conn, 500 KPBS [Hino]",300919,21
212154,Chihuahua (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",171020,3
216297,Chihuahua (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",231220,3
200256,Ciudad Ju�rez (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300320,1
216297,Culiac�n (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",231220,2
202396,Culiac�n (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",250520,2
182504,En Reserva (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300619,22
200256,Le�n (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300320,1
216297,Monterrey (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",231220,5
204129,Monterrey (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300620,1
212154,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",171020,60
216297,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",231220,39
202396,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",250520,8
204129,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300620,2
222855,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300621,50
224124,M�xico (QME),"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",300721,50
212154,Tabla Honda,"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",171020,4
202396,Tabla Honda,"45-JE139-1A CABLE IVG CASCADIA, 9 PIN, 250KBPS",250520,5
224125,Ciudad Ju�rez (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300721,2
216864,Cordoba (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",190121,2
217080,Cordoba (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290121,1
224125,Cordoba (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300721,2
185952,En Reserva (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290819,22
202397,Guadalajara (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",250520,5
217080,Guadalajara (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290121,2
217080,Le�n (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290121,3
222856,Monterrey (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300621,17
224125,Mty_Tecnico_1,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300721,5
216864,M�xico (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",190121,3
202397,M�xico (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",250520,9
217080,M�xico (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290121,5
224125,M�xico (QME),"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300721,81
202397,Orizaba_Tecnico_1,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",250520,1
217080,Orizaba_Tecnico_2,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",290121,1
222856,Puebla,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300621,5
224125,Puebla,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",300721,2
216291,Tabla Honda,"45-JE136-1A CABLE IVG, J1939,  9 PIN, 250KBPS, PACCAR",181220,5
204131,Ciudad Ju�rez (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300620,1
204131,Le�n (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300620,2
204131,Monterrey (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300620,10
204131,M�xico (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300620,80
222857,M�xico (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300621,50
204131,Nuevo Laredo (QME),"45-JE140-1A:Cable Assy, PWR, J1939, RP1226 CONN, 250KBPS,VOLVO, BENDIX/VIASAT,",300620,7
204132,Chihuahua (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,3
204132,Ciudad Ju�rez (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,1
204132,Cordoba (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,1
204132,Monterrey (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,32
204132,M�xico (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,27
222858,M�xico (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300621,50
204132,Nuevo Laredo (QME),"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,28
204132,Puebla,"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,1
204132,Tabla Honda,"45-JE141-1A:CABLE ASSY,PWR,J1939,RP1226 CONN, 250KBPS, PACCAR",300620,3
218617,Chihuahua (QME),"45-JE142-1A:CABLE ASSY. PWR, J1939, RP1226 CONN, 250 KBPS/500 KBPS, W CAN",310321,3
217081,Culiac�n (QME),"45-JE142-1A:CABLE ASSY. PWR, J1939, RP1226 CONN, 250 KBPS/500 KBPS, W CAN",290121,1
